session_id,label,session_duration_s,events_count,emg_duration_s,emg_rms_mean,emg_rms_max,emg_rms_std,emg_contractions_count,emg_rest_count,emg_contraction_ratio,hr_duration_s,hr_raw_mean,hr_filtered_mean,hr_filtered_max,hr_filtered_std,hr_valid_ratio,hr_above_threshold_ratio
20260504_202627,moderate,64.413,3,29.895,75.52633333333333,703.47,119.51095194075442,18,42,0.3,34.018,22.594202898550726,51.43333333333333,56.0,3.253892452425867,0.43478260869565216,0.0
20260504_202741,moderate,43.615,6,8.609,116.08777777777777,627.29,153.75863612495573,0,18,0.0,34.5,48.42857142857143,68.48,75.0,6.816187215978249,0.7142857142857143,0.54
20260504_202840,high,77.449,6,33.949,70.26970588235294,573.62,100.97612840357316,19,49,0.27941176470588236,43.0,54.52873563218391,72.81875000000001,115.4,17.134934842697593,0.735632183908046,0.515625
20260504_203020,low,33.107,4,9.107,42.18052631578948,478.23,108.19743098581327,1,18,0.05263157894736842,23.5,37.166666666666664,64.0,65.0,1.3662601021279461,0.5833333333333334,0.0
20260504_203107,high,58.971,6,28.471,639.47,1006.68,162.17683198331028,56,1,0.9824561403508771,30.0,48.622950819672134,62.851063829787236,66.8,1.9801045581116612,0.7704918032786885,0.0
20260504_203229,low,37.654,4,10.651,13.496818181818183,56.68,14.90993672701072,7,15,0.3181818181818182,26.5,45.77777777777778,65.23157894736842,67.0,1.1057846090930055,0.7037037037037037,0.0
